id_n,CONS_Alcohol_Tobacco,CONS_Clothing_Footwear,CONS_Communication,CONS_Education,CONS_Food,CONS_Health,CONS_Housing,CONS_Housing_Goods_Services,CONS_Miscellaneous,CONS_Recreation_Culture,CONS_Restaurants_Hotels,CONS_Transport,CONS_Total,CONS_Other,Year,weight
3020040120072.0,0.0,4750.0,9600.0,1950.0,106800.0,450.0,0.0,14240.0,0.0,2500.0,840.0,9600.0,150730.0,43930.0,2016,39.47442
3020040120078.0,0.0,4488.6,0.0,2700.0,31440.0,500.0,14314.500000000002,9260.0,0.0,600.0,0.0,12000.0,75303.1,43863.100000000006,2016,39.47442
3020040620016.0,0.0,2230.0,0.0,0.0,51600.0,0.0,0.0,4560.0,0.0,480.0,350.0,0.0,59220.0,7620.0,2016,54.682346
3020040620026.0,0.0,15160.0,0.0,18950.0,117600.0,250.0,0.0,25620.0,0.0,0.0,1090.0,6000.0,184670.0,67070.0,2016,54.682346
3020040620047.0,0.0,9844.43,0.0,6150.0,107040.0,537.1500000000001,2832.9,47764.5,200.0,240.0,755.0,14400.0,189763.97999999998,82723.97999999998,2016,54.682346
3020040620058.0,0.0,2050.0,0.0,0.0,23760.0,1680.0,0.0,2040.0,0.0,0.0,0.0,0.0,29530.0,5770.0,2016,54.682346
3020040620068.0,0.0,15280.0,14400.0,4870.0,109200.0,300.0,0.0,16410.0,1280.0,1800.0,760.0,0.0,164300.0,55100.0,2016,54.682346
3020040620089.0,0.0,3038.86,0.0,2020.0,46800.0,2300.0,0.0,5100.0,0.0,480.0,220.0,0.0,59958.86,13158.86,2016,54.682346
3020040620099.0,960.0,7330.0,0.0,7550.0,91200.0,400.0,57758.00000000001,15080.0,2460.0,1920.0,930.0,12000.0,197588.0,106388.0,2016,54.682346
3020040620120.0,0.0,2656.4500000000003,0.0,1344.3000000000002,17520.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,21760.75,4240.75,2016,54.682346
3020040620131.0,0.0,13570.800000000001,0.0,15000.0,148320.0,1659.3000000000002,7360.1,15990.0,150.0,0.0,995.0,7200.0,210245.2,61925.20000000001,2016,54.682346
3020040620141.0,0.0,1650.0,0.0,0.0,37680.0,0.0,26243.250000000004,6780.0,0.0,0.0,292.0,0.0,72645.25,34965.25,2016,54.682346
3020041120002.0,0.0,3510.0,0.0,10266.45,90720.0,350.0,143145.0,9315.0,1766.45,1800.0,400.0,28800.0,290072.9,199352.90000000002,2016,42.731747
3020041120007.0,0.0,750.0,0.0,0.0,45840.0,0.0,124059.00000000001,4700.0,0.0,0.0,0.0,0.0,175349.0,129509.0,2016,42.731747
3020041120017.0,0.0,16144.3,0.0,0.0,51360.0,700.0,0.0,12790.0,0.0,0.0,1410.0,7200.0,89604.3,38244.3,2016,42.731747
3020041120023.0,0.0,36691.7,0.0,1075.0,63840.0,850.0,0.0,17170.0,0.0,3600.0,820.0,0.0,124046.7,60206.7,2016,42.731747
3020041120028.0,0.0,12800.0,33600.0,0.0,153360.0,1400.0,0.0,31327.95,16000.0,10900.0,1800.0,86400.0,347587.95,194227.95,2016,42.731747
3020041120038.0,6240.0,7500.0,8400.0,2200.0,81120.0,2925.0,0.0,16287.9,2400.0,10100.0,1450.0,33600.0,172222.9,91102.9,2016,42.731747
3020041120043.0,0.0,17865.8,4800.0,3150.0,92160.0,325.0,71572.5,7865.0,2700.0,3480.0,495.0,0.0,204413.3,112253.29999999999,2016,42.731747
3020041120053.0,0.0,8350.0,4800.0,1550.0,83040.0,50.0,0.0,14020.0,4600.0,5300.0,1085.0,2880.0,125675.0,42635.0,2016,42.731747
3020041120059.0,0.0,9550.0,9600.0,1400.0,118560.0,3600.0,0.0,9570.0,28329.000000000004,600.0,970.0,0.0,182179.0,63619.0,2016,42.731747
3020041120064.0,10080.0,6090.0,0.0,6130.0,35040.0,295.0,0.0,6330.0,0.0,600.0,2500.0,0.0,67065.0,32025.0,2016,42.731747
3020041720001.0,0.0,6600.0,0.0,0.0,13440.0,0.0,10.0,5760.0,0.0,1700.0,250.0,0.0,27760.0,14320.0,2016,51.15682
3020041720019.0,0.0,900.0,4800.0,0.0,3120.0,0.0,0.0,5160.0,0.0,1000.0,1140.0,0.0,16120.0,13000.0,2016,51.15682
3020041720028.0,0.0,4725.0,0.0,0.0,42720.0,0.0,0.0,8820.0,0.0,1000.0,0.0,0.0,57265.0,14545.0,2016,51.15682
3020041720046.0,0.0,5000.0,0.0,0.0,57840.0,1100.0,0.0,7830.0,0.0,0.0,200.0,0.0,71970.0,14130.0,2016,51.15682
3020041720055.0,0.0,2550.0,0.0,2900.0,28800.0,0.0,238625.00000000003,4880.0,0.0,0.0,0.0,0.0,277755.0,248955.0,2016,51.15682
3020041720064.0,0.0,9800.0,0.0,0.0,68640.0,700.0,50.0,8730.0,0.0,0.0,0.0,0.0,87920.0,19280.0,2016,51.15682
3020041720082.0,0.0,16600.0,14400.0,2010.0,102960.0,7000.0,0.0,12975.0,6550.0,7200.0,760.0,0.0,170455.0,67495.0,2016,51.15682
3020041720091.0,4800.0,2400.0,0.0,0.0,64560.0,150.0,0.0,5480.0,200.0,700.0,0.0,0.0,78290.0,13730.0,2016,51.15682
3020041720109.0,0.0,2800.0,0.0,0.0,55200.0,0.0,0.0,5710.0,900.0,1600.0,75.0,0.0,66285.0,11085.0,2016,51.15682
3020041720118.0,1200.0,6650.0,0.0,0.0,93120.0,0.0,0.0,5730.0,100.0,0.0,0.0,0.0,106800.0,13680.0,2016,51.15682
3020042220001.0,0.0,6325.0,0.0,0.0,45120.0,225.0,0.0,7555.0,550.0,0.0,0.0,24000.0,83775.0,38655.0,2016,68.15318
3020042220008.0,5760.0,12500.0,0.0,0.0,144960.0,900.0,91358.5,12470.0,2800.0,3600.0,1070.0,7200.0,282618.5,137658.5,2016,68.15318
3020042220024.0,5760.0,375.0,4800.0,0.0,81360.0,175.0,0.0,9960.0,8300.0,3000.0,170.0,36000.0,149900.0,68540.0,2016,68.15318
3020042220031.0,0.0,0.0,0.0,0.0,41520.0,0.0,0.0,1860.0,0.0,0.0,550.0,0.0,43930.0,2410.0,2016,68.15318
3020042220046.0,0.0,13900.0,5280.0,9370.0,163920.0,1255.0,38572.0,7870.0,1380.0,0.0,860.0,7680.0,250087.0,86167.0,2016,68.15318
3020042220054.0,0.0,11035.0,0.0,13725.0,180240.0,750.0,0.0,6270.0,1500.0,0.0,745.0,24000.0,238265.0,58025.0,2016,68.15318
3020042220061.0,0.0,6875.0,0.0,7150.0,52560.0,340.0,0.0,8490.0,750.0,0.0,0.0,0.0,76165.0,23605.0,2016,68.15318
3020042220077.0,0.0,7250.0,5280.0,5500.0,110400.0,12475.0,0.0,13920.0,0.0,2500.0,0.0,7200.0,164525.0,54125.0,2016,68.15318
3020042220084.0,0.0,0.0,5280.0,3500.0,30000.0,1200.0,71572.5,4080.0,0.0,0.0,2895.0,12000.0,130527.5,100527.5,2016,68.15318
3020042220099.0,0.0,5600.0,4800.0,2050.0,93840.0,750.0,4721.5,5440.0,0.0,0.0,665.0,27840.0,145706.5,51866.5,2016,68.15318
3020042720019.0,0.0,4180.0,0.0,2150.0,73200.0,825.0,0.0,12740.0,11500.0,0.0,0.0,0.0,104595.0,31395.0,2016,69.68797
3020042720031.0,0.0,3950.0,0.0,175.0,5280.0,100.0,0.0,4920.0,0.0,0.0,1100.0,0.0,15525.0,10245.0,2016,69.68797
3020042720055.0,0.0,5788.6,0.0,0.0,66720.0,0.0,0.0,10145.0,0.0,2400.0,0.0,14400.0,99453.6,32733.600000000006,2016,69.68797
3020042720067.0,0.0,1780.0,0.0,0.0,0.0,920.0,0.0,3910.0,0.0,0.0,510.0,0.0,7120.0,7120.0,2016,69.68797
3020042720079.0,0.0,12773.6,14400.0,310.0,55680.0,0.0,19086.0,11470.0,6300.0,0.0,165.0,41280.0,161464.6,105784.6,2016,69.68797
3020042720103.0,0.0,4410.0,0.0,0.0,62400.0,460.0,0.0,11180.0,1950.0,0.0,260.0,0.0,80660.0,18260.0,2016,69.68797
3020042720115.0,0.0,4384.3,0.0,370.0,97920.0,110.0,0.0,11630.0,2975.0,960.0,0.0,0.0,118349.3,20429.300000000003,2016,69.68797
3020042720139.0,0.0,5950.0,8640.0,0.0,73680.0,350.0,0.0,14145.0,4000.0,0.0,0.0,0.0,106765.0,33085.0,2016,69.68797
3020042720151.0,0.0,7710.75,9120.0,0.0,72720.0,0.0,0.0,10285.0,0.0,1200.0,620.0,24000.0,125655.75,52935.75,2016,69.68797
3020042720163.0,0.0,5625.0,0.0,690.0,83280.0,130.0,0.0,10440.0,280.0,0.0,180.0,0.0,100625.0,17345.0,2016,69.68797
3020043120002.0,0.0,965.0,0.0,1195.0,32160.0,240.0,0.0,8830.0,0.0,0.0,570.0,0.0,43960.0,11800.0,2016,28.634676
3020043120007.0,0.0,772.1500000000001,5280.0,4250.0,23760.0,0.0,0.0,5400.0,0.0,0.0,950.0,0.0,40412.15,16652.15,2016,28.634676
3020043120017.0,0.0,640.0,0.0,1780.0,35520.0,500.0,0.0,7765.0,0.0,2100.0,190.0,0.0,48495.0,12975.0,2016,28.634676
3020043120023.0,5040.0,2100.0,0.0,2280.0,19920.0,0.0,0.0,5620.0,100.0,0.0,0.0,0.0,35060.0,15140.0,2016,28.634676
3020043120028.0,0.0,2590.0,0.0,10225.0,84480.0,23420.0,0.0,9490.0,0.0,2200.0,0.0,0.0,132405.0,47925.0,2016,28.634676
3020043120038.0,0.0,4400.0,0.0,0.0,46560.0,0.0,47715.0,10595.0,9100.0,5400.0,550.0,7200.0,131520.0,84960.0,2016,28.634676
3020043120043.0,0.0,14000.0,0.0,2950.0,15600.0,0.0,0.0,12940.0,2725.0,4400.0,405.0,24000.0,77020.0,61420.0,2016,28.634676
3020043120053.0,0.0,3250.0,0.0,0.0,52800.0,100.0,0.0,9360.0,0.0,0.0,0.0,0.0,65510.0,12710.0,2016,28.634676
3020043120059.0,0.0,450.0,0.0,0.0,20160.0,150.0,0.0,2160.0,0.0,0.0,0.0,0.0,22920.0,2760.0,2016,28.634676
3020043120064.0,0.0,2400.0,0.0,0.0,13200.0,5375.0,0.0,7690.0,5450.0,1000.0,0.0,0.0,35115.0,21915.0,2016,28.634676
3040010220007.0,0.0,7650.0,4800.0,10700.0,67440.0,560.0,0.0,5830.0,800.0,0.0,1480.0,0.0,99260.0,31820.0,2016,43.80128
3040010220015.0,0.0,2800.0,0.0,0.0,15360.0,0.0,0.0,1760.0,0.0,500.0,230.0,0.0,20650.0,5290.0,2016,43.80128
3040010220031.0,0.0,4500.0,0.0,0.0,58560.0,0.0,238625.00000000003,6960.0,0.0,0.0,0.0,0.0,308645.0,250085.0,2016,43.80128
3040010220039.0,0.0,3000.0,0.0,0.0,43440.0,400.0,19136.0,6210.75,0.0,0.0,780.0,0.0,72966.75,29526.75,2016,43.80128
3040010220054.0,2400.0,3000.0,14345.28,0.0,45840.0,1000.0,0.0,7987.200000000001,0.0,0.0,300.0,0.0,74872.48,29032.479999999996,2016,43.80128
3040010220062.0,0.0,20400.0,0.0,3955.0,39120.0,400.0,190860.0,23420.2,10760.75,2400.0,450.0,33600.0,325365.95,286245.95,2016,43.80128
