id_n,WT2016,WT2017,WT2018,WT2019,WT2020,WT2021,WT2022,WT2023,WT2024,WT2025,WT2026,WT2027,WT2028,WT2029,WT2030
6040070310053.0,187.26065,187.26065,187.26065,187.26065,187.26065,187.26065,187.26065,187.26065,187.26065,187.26065,187.26065,187.26065,187.26065,187.26065,187.26065
6040070310062.0,187.26065,187.26065,187.26065,187.26065,187.26065,187.26065,187.26065,187.26065,187.26065,187.26065,187.26065,187.26065,187.26065,187.26065,187.26065
6040072010001.0,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828
6040072010008.0,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828
6040072010024.0,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828
6040072010031.0,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828
6040072010046.0,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828
6040072010054.0,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828
6040072010061.0,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828
6040072010077.0,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828
6040072010084.0,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828
6040072010099.0,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828,159.01828
6040080310015.0,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814
6040080310025.0,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814
6040080310035.0,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814
6040080310054.0,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814
6040080310064.0,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814
6040080310084.0,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814
6040080310093.0,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814
6040080310103.0,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814
6040080310123.0,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814
6040080310132.0,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814,203.18814
6040081910002.0,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803
6040081910018.0,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803
6040081910027.0,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803
6040081910043.0,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803
6040081910052.0,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803
6040081910060.0,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803
6040081910077.0,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803
6040081910085.0,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803
6040081910102.0,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803
6040081910110.0,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803,221.30803
6060010420002.0,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165
6060010420005.0,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165
6060010420008.0,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165
6060010420014.0,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165
6060010420017.0,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165,56.51165
