,weight_2016,vatax_2016,CONS_Total_2016,weight_2017,vatax_2017,CONS_Total_2017,weight_2018,vatax_2018,CONS_Total_2018,weight_2019,vatax_2019,CONS_Total_2019,weight_2020,vatax_2020,CONS_Total_2020,weight_2021,vatax_2021,CONS_Total_2021,weight_2022,vatax_2022,CONS_Total_2022,weight_2023,vatax_2023,CONS_Total_2023,weight_2024,vatax_2024,CONS_Total_2024,weight_2025,vatax_2025,CONS_Total_2025,weight_ref_2025,vatax_ref_2025,CONS_Total_ref_2025,weight_ref_2026,vatax_ref_2026,CONS_Total_ref_2026,weight_ref_2027,vatax_ref_2027,CONS_Total_ref_2027,weight_ref_2028,vatax_ref_2028,CONS_Total_ref_2028,weight_ref_2029,vatax_ref_2029,CONS_Total_ref_2029,weight_ref_2030,vatax_ref_2030,CONS_Total_ref_2030,ETR,ETR_ref
20,"9,042.8698",38.0000,592.0000,"9,042.8698",45.0000,692.0000,"9,042.8698",42.0000,657.0000,"9,042.8698",46.0000,719.0000,"9,042.8698",45.0000,695.0000,"9,042.8698",63.0000,975.0000,"9,042.8698",54.0000,835.0000,"9,042.8698",58.0000,902.0000,"9,042.8698",65.0000,"1,004.0000","9,042.8698",69.0000,"1,074.0000","9,042.8698",144.0000,"1,074.0000","9,042.8698",154.0000,"1,150.0000","9,042.8698",165.0000,"1,231.0000","9,042.8698",177.0000,"1,318.0000","9,042.8698",190.0000,"1,412.0000","9,042.8698",203.0000,"1,513.0000",0.0642,0.1341
21,"9,047.3063",28.0000,619.0000,"9,047.3063",33.0000,725.0000,"9,047.3063",31.0000,688.0000,"9,047.3063",34.0000,753.0000,"9,047.3063",33.0000,728.0000,"9,047.3063",46.0000,"1,021.0000","9,047.3063",40.0000,874.0000,"9,047.3063",43.0000,944.0000,"9,065.6487",48.0000,"1,054.0000","9,047.3063",51.0000,"1,125.0000","9,047.3063",152.0000,"1,125.0000","9,047.3063",163.0000,"1,204.0000","9,047.3063",175.0000,"1,289.0000","9,065.6487",187.0000,"1,384.0000","9,047.3063",200.0000,"1,479.0000","9,065.6487",215.0000,"1,588.0000",0.0453,0.1351
22,"8,913.0786",31.0000,637.0000,"8,913.0786",36.0000,746.0000,"8,913.0786",34.0000,707.0000,"8,913.0786",37.0000,774.0000,"8,913.0786",36.0000,749.0000,"8,913.0786",50.0000,"1,051.0000","8,913.0786",43.0000,899.0000,"8,913.0786",47.0000,971.0000,"8,894.7362",52.0000,"1,080.0000","8,913.0786",56.0000,"1,157.0000","8,913.0786",153.0000,"1,157.0000","8,913.0786",164.0000,"1,239.0000","8,913.0786",176.0000,"1,326.0000","8,894.7362",188.0000,"1,418.0000","8,913.0786",202.0000,"1,522.0000","8,894.7362",216.0000,"1,627.0000",0.0484,0.1322
23,"9,156.7642",36.0000,679.0000,"9,156.7642",43.0000,795.0000,"9,156.7642",40.0000,754.0000,"9,156.7642",44.0000,825.0000,"9,156.7642",43.0000,798.0000,"9,156.7642",60.0000,"1,119.0000","9,156.7642",51.0000,958.0000,"9,156.7642",55.0000,"1,035.0000","9,156.7642",62.0000,"1,153.0000","9,156.7642",66.0000,"1,232.0000","9,156.7642",165.0000,"1,232.0000","9,156.7642",177.0000,"1,320.0000","9,156.7642",190.0000,"1,413.0000","9,156.7642",203.0000,"1,513.0000","9,156.7642",217.0000,"1,621.0000","9,156.7642",233.0000,"1,737.0000",0.0536,0.1339
24,"9,053.3967",36.0000,695.0000,"9,053.3967",42.0000,814.0000,"9,053.3967",39.0000,772.0000,"9,053.3967",43.0000,845.0000,"9,053.3967",42.0000,817.0000,"9,053.3967",59.0000,"1,146.0000","9,053.3967",50.0000,981.0000,"9,053.3967",54.0000,"1,060.0000","9,053.3967",60.0000,"1,181.0000","9,053.3967",65.0000,"1,262.0000","9,053.3967",169.0000,"1,262.0000","9,053.3967",181.0000,"1,352.0000","9,053.3967",194.0000,"1,447.0000","9,053.3967",208.0000,"1,550.0000","9,053.3967",223.0000,"1,660.0000","9,053.3967",239.0000,"1,779.0000",0.0515,0.1339
25,"8,966.0742",28.0000,709.0000,"8,966.0742",33.0000,830.0000,"8,966.0742",31.0000,787.0000,"8,966.0742",34.0000,862.0000,"8,966.0742",33.0000,833.0000,"8,966.0742",46.0000,"1,169.0000","8,966.0742",39.0000,"1,001.0000","8,966.0742",42.0000,"1,081.0000","8,966.0742",47.0000,"1,204.0000","8,966.0742",51.0000,"1,288.0000","8,966.0742",173.0000,"1,288.0000","8,966.0742",185.0000,"1,379.0000","8,966.0742",198.0000,"1,476.0000","8,966.0742",212.0000,"1,581.0000","8,966.0742",227.0000,"1,694.0000","8,966.0742",243.0000,"1,815.0000",0.0396,0.1343
26,"9,110.5106",45.0000,744.0000,"9,110.5106",52.0000,871.0000,"9,110.5106",50.0000,826.0000,"9,110.5106",54.0000,904.0000,"9,110.5106",52.0000,874.0000,"9,110.5106",74.0000,"1,227.0000","9,110.5106",63.0000,"1,050.0000","9,110.5106",68.0000,"1,135.0000","9,110.5106",76.0000,"1,264.0000","9,110.5106",81.0000,"1,351.0000","9,110.5106",185.0000,"1,351.0000","9,110.5106",198.0000,"1,447.0000","9,110.5106",212.0000,"1,549.0000","9,110.5106",227.0000,"1,659.0000","9,110.5106",243.0000,"1,777.0000","9,110.5106",260.0000,"1,904.0000",0.0600,0.1369
27,"9,065.1473",39.0000,761.0000,"9,065.1473",46.0000,891.0000,"9,065.1473",43.0000,845.0000,"9,065.1473",48.0000,924.0000,"9,065.1473",46.0000,894.0000,"9,065.1473",64.0000,"1,255.0000","9,065.1473",55.0000,"1,074.0000","9,065.1473",60.0000,"1,160.0000","9,065.1473",66.0000,"1,292.0000","9,065.1473",71.0000,"1,382.0000","9,065.1473",180.0000,"1,382.0000","9,065.1473",193.0000,"1,479.0000","9,065.1473",207.0000,"1,584.0000","9,065.1473",222.0000,"1,696.0000","9,065.1473",237.0000,"1,817.0000","9,065.1473",254.0000,"1,947.0000",0.0514,0.1302
28,"9,009.3048",34.0000,781.0000,"9,009.3048",40.0000,915.0000,"9,009.3048",38.0000,867.0000,"9,009.3048",42.0000,949.0000,"9,009.3048",40.0000,918.0000,"9,009.3048",56.0000,"1,288.0000","9,009.3048",48.0000,"1,102.0000","9,009.3048",52.0000,"1,191.0000","9,009.3048",58.0000,"1,327.0000","9,009.3048",62.0000,"1,418.0000","9,009.3048",194.0000,"1,418.0000","9,009.3048",208.0000,"1,518.0000","9,009.3048",223.0000,"1,626.0000","9,009.3048",239.0000,"1,741.0000","9,009.3048",256.0000,"1,865.0000","9,009.3048",274.0000,"1,998.0000",0.0437,0.1368
29,"9,024.5426",31.0000,808.0000,"9,024.5426",36.0000,946.0000,"9,024.5426",35.0000,897.0000,"9,024.5426",38.0000,982.0000,"9,024.5426",37.0000,950.0000,"9,024.5426",51.0000,"1,333.0000","9,024.5426",44.0000,"1,140.0000","9,024.5426",47.0000,"1,232.0000","9,024.5426",53.0000,"1,373.0000","9,024.5426",56.0000,"1,467.0000","9,024.5426",193.0000,"1,467.0000","9,024.5426",207.0000,"1,571.0000","9,024.5426",222.0000,"1,682.0000","9,024.5426",237.0000,"1,802.0000","9,024.5426",254.0000,"1,930.0000","9,024.5426",272.0000,"2,068.0000",0.0382,0.1316
30,"8,902.0076",37.0000,824.0000,"8,902.0076",43.0000,964.0000,"8,902.0076",41.0000,914.0000,"8,902.0076",45.0000,"1,001.0000","8,902.0076",43.0000,968.0000,"8,902.0076",61.0000,"1,358.0000","8,902.0076",52.0000,"1,162.0000","8,902.0076",56.0000,"1,256.0000","8,902.0076",63.0000,"1,399.0000","8,902.0076",67.0000,"1,495.0000","8,902.0076",195.0000,"1,495.0000","8,902.0076",209.0000,"1,601.0000","8,902.0076",224.0000,"1,714.0000","8,902.0076",240.0000,"1,836.0000","8,902.0076",257.0000,"1,967.0000","8,902.0076",275.0000,"2,107.0000",0.0448,0.1304
31,"9,101.4023",43.0000,868.0000,"9,101.4023",50.0000,"1,016.0000","9,101.4023",47.0000,963.0000,"9,101.4023",52.0000,"1,054.0000","9,101.4023",50.0000,"1,020.0000","9,101.4023",70.0000,"1,431.0000","9,101.4023",60.0000,"1,224.0000","9,101.4023",65.0000,"1,323.0000","9,101.4023",72.0000,"1,474.0000","9,101.4023",77.0000,"1,575.0000","9,101.4023",214.0000,"1,575.0000","9,101.4023",229.0000,"1,687.0000","9,101.4023",246.0000,"1,806.0000","9,101.4023",263.0000,"1,934.0000","9,101.4023",282.0000,"2,072.0000","9,101.4023",302.0000,"2,220.0000",0.0489,0.1359
32,"9,072.0514",46.0000,890.0000,"9,072.0514",54.0000,"1,042.0000","9,072.0514",51.0000,988.0000,"9,072.0514",56.0000,"1,081.0000","9,072.0514",54.0000,"1,045.0000","9,072.0514",76.0000,"1,467.0000","9,072.0514",65.0000,"1,255.0000","9,072.0514",70.0000,"1,356.0000","9,072.0514",78.0000,"1,511.0000","9,072.0514",84.0000,"1,615.0000","9,072.0514",218.0000,"1,615.0000","9,072.0514",233.0000,"1,730.0000","9,072.0514",250.0000,"1,852.0000","9,072.0514",267.0000,"1,983.0000","9,072.0514",287.0000,"2,125.0000","9,072.0514",307.0000,"2,276.0000",0.0520,0.1350
33,"9,051.1877",34.0000,908.0000,"9,051.1877",40.0000,"1,063.0000","9,051.1877",38.0000,"1,008.0000","9,051.1877",42.0000,"1,103.0000","9,051.1877",40.0000,"1,067.0000","9,051.1877",57.0000,"1,497.0000","9,051.1877",48.0000,"1,281.0000","9,051.1877",52.0000,"1,384.0000","9,051.1877",58.0000,"1,542.0000","9,051.1877",62.0000,"1,648.0000","9,051.1877",222.0000,"1,648.0000","9,051.1877",237.0000,"1,765.0000","9,051.1877",254.0000,"1,890.0000","9,051.1877",272.0000,"2,024.0000","9,051.1877",291.0000,"2,168.0000","9,051.1877",312.0000,"2,323.0000",0.0376,0.1347
34,"9,092.3721",49.0000,935.0000,"9,092.3721",57.0000,"1,095.0000","9,092.3721",54.0000,"1,038.0000","9,092.3721",59.0000,"1,136.0000","9,092.3721",57.0000,"1,098.0000","9,092.3721",81.0000,"1,541.0000","9,092.3721",69.0000,"1,319.0000","9,092.3721",75.0000,"1,425.0000","9,092.3721",83.0000,"1,588.0000","9,092.3721",89.0000,"1,697.0000","9,092.3721",225.0000,"1,697.0000","9,092.3721",241.0000,"1,817.0000","9,092.3721",258.0000,"1,946.0000","9,092.3721",276.0000,"2,084.0000","9,092.3721",296.0000,"2,233.0000","9,092.3721",317.0000,"2,392.0000",0.0524,0.1326
35,"9,002.1460",34.0000,950.0000,"9,002.1460",40.0000,"1,113.0000","9,002.1460",38.0000,"1,055.0000","9,002.1460",41.0000,"1,155.0000","9,002.1460",40.0000,"1,117.0000","9,002.1460",56.0000,"1,567.0000","9,002.1460",48.0000,"1,341.0000","9,002.1460",52.0000,"1,449.0000","9,002.1460",58.0000,"1,614.0000","9,002.1460",62.0000,"1,725.0000","9,002.1460",234.0000,"1,725.0000","9,002.1460",250.0000,"1,847.0000","9,002.1460",268.0000,"1,978.0000","9,002.1460",287.0000,"2,118.0000","9,002.1460",308.0000,"2,269.0000","9,002.1460",330.0000,"2,431.0000",0.0359,0.1357
36,"8,998.8756",54.0000,982.0000,"8,998.8756",63.0000,"1,149.0000","8,998.8756",60.0000,"1,090.0000","8,998.8756",65.0000,"1,193.0000","8,998.8756",63.0000,"1,154.0000","8,998.8756",89.0000,"1,619.0000","8,998.8756",76.0000,"1,385.0000","8,998.8756",82.0000,"1,497.0000","8,998.8756",92.0000,"1,667.0000","8,998.8756",98.0000,"1,782.0000","8,998.8756",238.0000,"1,782.0000","8,998.8756",255.0000,"1,909.0000","8,998.8756",273.0000,"2,044.0000","8,998.8756",292.0000,"2,188.0000","8,998.8756",313.0000,"2,345.0000","8,998.8756",335.0000,"2,512.0000",0.0550,0.1336
37,"8,932.8306",43.0000,"1,002.0000","8,932.8306",50.0000,"1,173.0000","8,932.8306",47.0000,"1,113.0000","8,932.8306",52.0000,"1,217.0000","8,932.8306",50.0000,"1,177.0000","8,932.8306",70.0000,"1,652.0000","8,932.8306",60.0000,"1,414.0000","8,932.8306",65.0000,"1,528.0000","8,932.8306",72.0000,"1,702.0000","8,932.8306",77.0000,"1,819.0000","8,932.8306",234.0000,"1,819.0000","8,932.8306",251.0000,"1,948.0000","8,932.8306",268.0000,"2,086.0000","8,932.8306",287.0000,"2,234.0000","8,932.8306",308.0000,"2,393.0000","8,932.8306",330.0000,"2,564.0000",0.0423,0.1286
38,"9,161.5205",49.0000,"1,051.0000","9,161.5205",58.0000,"1,230.0000","9,161.5205",55.0000,"1,167.0000","9,161.5205",60.0000,"1,276.0000","9,161.5205",58.0000,"1,235.0000","9,161.5205",81.0000,"1,732.0000","9,161.5205",69.0000,"1,483.0000","9,161.5205",75.0000,"1,602.0000","9,161.5205",84.0000,"1,784.0000","9,161.5205",89.0000,"1,908.0000","9,161.5205",254.0000,"1,908.0000","9,161.5205",272.0000,"2,043.0000","9,161.5205",292.0000,"2,187.0000","9,161.5205",312.0000,"2,342.0000","9,161.5205",335.0000,"2,509.0000","9,161.5205",358.0000,"2,688.0000",0.0466,0.1331
